"construction_era","zoning_land_use_regulation","property_age","has_basement","neighborhood_quality","exterior_condition","central_air","basement_finish_type","lot_size","num_floors","square_feet","bedrooms","bathrooms","total_rooms","garage_capacity","has_fireplace","sale_price"
"1920-1949","Restrictive",109.108460893833,"No","Low","Average","Yes","None",6372.94827250489,1,2228.56869165426,2,7.74113522241713,6,"None","No",228844.167472017
"1920-1949","Permissive",104.740260243331,"No","Medium","Average","Yes","None",11597.1567613068,3,2398.52287879912,1,6.80146744528012,3,"Single","Yes",326252.347462701
"2000_Present","Very_Permissive",103.594354501793,"Yes","High","Average","Yes","Full",6563.88778145888,1,1531.75175608796,2,7.75613668489726,2,"Single","No",348108.244381741
"1950-1979","Moderate",109.56205993939,"No","Very_High","Average","Yes","Partial",13044.303396407,4,3281.21993249202,2,7.67626990847795,3,"Single","No",848802.81873149
"1950-1979","Permissive",103.589800133429,"No","High","Average","Yes","Partial",17698.6464878484,4,3380.96564999382,2,7.29948687850386,2,"Double","Yes",563610.678119602
"1980-1999","Permissive",104.33497465637,"No","Low","Average","Yes","Partial",2743.04504903044,1,2175.43357516468,2,7.75139881341245,6,"Quad","Yes",313023.387427918
"1950-1979","Restrictive",102.857556959197,"No","Medium","Fair","Yes","Partial",10100.602462951,1,2160.32035421758,2,7.12196536671815,7,"Triple","Yes",197865.885206015
"2000_Present","Permissive",98.0880218859914,"Yes","Medium","Excellent","Yes","Partial",4578.54122910248,1,2241.33029239934,4,7.88451606533732,2,"Single","No",406524.840207032
"1950-1979","Moderate",108.118252642648,"Yes","High","Good","Yes","Partial",13729.0369267599,3,2503.12730272649,1,7.52777580383551,2,"Quad","No",497708.720510017
"1950-1979","Moderate",104.703631273724,"Yes","High","Average","Yes","None",9165.70978655693,1,1955.3955997108,3,7.37873275829467,5,"Single","Yes",716981.246970575
"1980-1999","Restrictive",90.8493021961344,"Yes","Medium","Good","Yes","None",4831.98046222877,1,1930.60063024496,1,7.10468522064932,2,"Double","No",330995.161251259
"1950-1979","Very_Permissive",108.088426974584,"Yes","High","Good","Yes","None",6532.01239626433,1,1683.89443261844,0,6.61363409244849,4,"Single","Yes",318824.723143291
"1920-1949","Very_Permissive",108.308648476811,"Yes","Very_High","Average","Yes","Full",12496.6009502606,1,3112.95178274614,2,7.59058135174276,4,"None","No",795989.536509581
"2000_Present","Moderate",107.882087883568,"Yes","Low","Good","Yes","Partial",6017.98640345324,2,2757.48032572791,1,7.38775562245593,3,"Double","Yes",396771.548673702
